"","long","lat","heuteVok","breitVok","wachsenVokStem","wachsenVokEnd","butter"
"256",8.17132,47.65851,"ü","ao","V-short","a/o","Butter"
"257",7.3467,47.65852,"i/ie","ei","V-short","a/o","Anke(n)"
"258",8.24051,47.65862,"ü","ei","V-short","a/o","Anke(n)"
"259",8.22113,47.65889,"ü","ei","V-long","e","Butter"
"260",8.36613,47.65918,"ü","ei","V-short","a/o","Butter"
"261",8.02357,47.65954,"ü","ei","V-short","a/o","Butter"
"262",7.23995,47.6597,"e","ei","V-short","a/o","Butter"
"263",8.93161,47.6599,"ü","aa","V-short","a/o","Butter"
"264",8.42011,47.66108,"ü","ei","V-short","a/o","Butter"
"265",7.72778,47.66132,"ü","ei","V-short","a/o","Butter"
"266",8.89136,47.66162,"ü","aa","V-short","a/o","Butter"
"267",7.83602,47.66179,"ü","ei","V-long","e","Anke(n)"
"268",7.53541,47.66186,"i/ie",NA,"V-short","a/o","Anke(n)"
"269",7.59628,47.66366,"ü","ei","V-short","a/o","Anke(n)"
"270",8.04718,47.66382,"sonst","ei","V-short","a/o","Anke(n)"
"271",8.04718,47.66382,"sonst","ei","V-short","a/o","Anke(n)"
"272",8.04718,47.66382,"sonst","ei","V-short","a/o","Butter"
"273",8.04718,47.66382,"sonst","ei","V-short","a/o","Butter"
"274",9.17758,47.66385,"ei/ai","oa","V-short","a/o","Butter"
"275",7.86873,47.6649,"ü","ei","V-short","a/o","Anke(n)"
"276",8.00161,47.66587,"ü","ei","V-short","a/o","Butter"
"277",8.0762,47.66588,"ü","ei","V-short","a/o","Anke(n)"
"278",9.3675,47.66625,"ei/ai","oi","V-short","a/o","Butter"
"279",8.38187,47.66635,"ü","ei","V-short","a/o","Butter"
"280",8.32062,47.66643,"ü","ei","V-short","a/o","Anke(n)"
"281",7.42236,47.66739,"ei/ai","ei","V-short","a/o","Anke(n)"
"282",7.1681,47.66772,"i/ie","ei","V-short","a/o","Butter"
"283",7.09169,47.66903,"e","ei","V-short","a/o","Butter"
"284",7.0684,47.66973,"i/ie",NA,"V-short","a/o","Butter"
"285",7.65387,47.67054,"ü","ei","V-short","a/o","Anke(n)"
"286",7.26494,47.67073,"e","ei","V-short","a/o","Butter"
"287",7.26494,47.67073,"e","ei","V-short","a/o","Butter"
"288",7.26494,47.67073,"e","ei","V-short","a/o","Butter"
"289",7.26494,47.67073,"e","ei","V-short","a/o","Butter"
"290",7.20293,47.67101,"e","ei","V-long","a/o","Butter"
"291",8.0655,47.67119,"ü","ei","V-short","a/o","Anke(n)"
"292",7.36609,47.67219,"e","ei","V-short","a/o","Anke(n)"
"293",8.96502,47.67294,"i/ie","ei","V-short","a/o","Butter"
"294",7.5497,47.67294,"i/ie","ei","V-short","a/o","Butter"
"295",8.96502,47.67294,"ü","oa","V-long","e","k.A."
"296",7.5497,47.67294,"ü","oa","V-long","e","k.A."
"297",8.24371,47.67342,"ü","ei","V-short","a/o","Butter"
"298",7.56756,47.67374,"ü","ei","V-short","a/o","Butter"
"299",8.18848,47.6749,"ü","ei","V-short","a/o","Anke(n)"
"300",8.26226,47.67494,"ü","ei","V-short","a/o","k.A."
"301",8.167,47.67614,"i/ie","ei","V-short","a/o","Anke(n)"
"302",8.167,47.67614,"i/ie","ei","V-short","a/o","Anke(n)"
"303",8.167,47.67614,"i/ie","ei","V-short","a/o","Anke(n)/Butter"
"304",8.167,47.67614,"i/ie","ei","V-short","a/o","Anke(n)/Butter"
"305",9.31963,47.67634,"ei/ai","oa","V-short","a/o","Butter"
"306",7.76525,47.67775,"ü","ei","V-short","a/o","Butter"
"307",8.37663,47.67838,"ü","ei","V-short","a/o","Butter"
"308",8.01017,47.6797,"ü","ei","V-short","a/o","Anke(n)"
"309",7.59794,47.68033,"ü","ei","V-short","a/o","Butter"
"310",7.2159,47.68086,"e","ei","V-short","a/o","Butter"
"311",7.84055,47.68143,"ü","ei","V-short","a/o","Butter"
"312",7.86089,47.68233,"ü","ei","V-long","e","Butter"
"313",8.9829,47.68263,"ü","oa","V-long","e","Butter"
"314",7.4066,47.68284,"i/ie","ei","V-long","e","Butter"
"315",8.30454,47.68312,"ü","ei","V-short","a/o","Anke(n)"
"316",7.06248,47.68339,"i/ie","ei","V-short","a/o","Butter"
"317",8.09123,47.686,"ü","ei","V-short","a/o","Anke(n)"
"318",7.39601,47.68637,"i/ie","ei","V-short","a/o","Butter"
"319",7.50399,47.6877,"e","ei","V-short","a/o","Butter"
"320",7.50399,47.6877,"e","ei","V-short","a/o","Butter"
"321",7.50399,47.6877,"e","ei","V-short","a/o","Butter"
"322",7.50399,47.6877,"sonst",NA,"V-short","a/o","Butter"
"323",7.50399,47.6877,"sonst",NA,"V-short","a/o","Butter"
"324",7.50399,47.6877,"sonst",NA,"V-short","a/o","Butter"
"325",7.50399,47.6877,"e","ei","V-short","a/o","Butter"
"326",7.50399,47.6877,"e","ei","V-short","a/o","Butter"
"327",7.50399,47.6877,"e","ei","V-short","a/o","Butter"
"328",8.90035,47.68774,"ü","aa","V-short","a/o","Butter"
"329",7.56233,47.68899,"ü","ei","V-long","e","Butter"
"330",8.14553,47.68929,"ü","ei","k.A.","k.A.","Butter"
"331",7.79819,47.6893,"ü","ei","V-short","a/o","Butter"
"332",7.13461,47.6894,"i/ie","ei","V-short","a/o","Butter"
"333",7.26801,47.69023,"i/ie","ei","V-long","e","Butter"
"334",7.73863,47.69047,"ü","ei","V-long","e","Butter"
"335",7.19368,47.69085,"e","ei","V-short","a/o","Butter"
"336",7.52279,47.691,"ü","ei","V-short","a/o","Butter"
"337",7.54141,47.69158,"ü","ei","V-long","e","Butter"
