"","lfd","long","lat","hunde","type"
"184",184,7.47921,48.79113,"Hund, Hung","nd"
"185",185,7.65509,48.82974,"Hund, Hind","nd"
"186",186,7.62689,48.81972,"Hund","nd"
"187",187,7.58414,48.81374,"Hund","nd"
"188",188,7.55923,48.82025,"Hung","ng"
"189",189,7.55965,48.83213,"Hung","ng"
"190",190,7.53026,48.81331,"Hund","nd"
"191",191,7.55409,48.80777,"Hung","ng"
"192",192,7.64259,48.80222,"Hund","nd"
"193",193,7.61936,48.78575,"Hein","nn"
"194",194,7.59484,48.79272,"Hund","nd"
"195",195,7.5473,48.79426,"Hund","nd"
"196",196,7.52538,48.79381,"Hund","nd"
"197",197,7.52538,48.79381,"Hend","nd"
"198",198,7.50884,48.80522,"Hund, Hung","nd"
"199",199,7.53159,48.78313,"Hung","ng"
"200",200,7.55983,48.78146,"Hund, Hend","nd"
"201",201,7.51974,48.75911,"Hund","nd"
"202",202,7.51974,48.75911,"Hund","nd"
"203",203,7.57004,48.75735,"Hind","nd"
"204",204,7.59981,48.7561,"Hung","ng"
"205",205,7.66007,48.78303,"Hend","nd"
"206",206,7.67396,48.82047,"Hénd","nd"
"207",207,7.70034,48.81187,"Hind","nd"
"208",208,7.73517,48.82151,"Hend","nd"
"209",209,7.73517,48.82151,"Hunnd","nd"
"210",210,7.78868,48.81435,"Hend","nd"
"211",211,7.60966,48.84793,"Hund","nd"
"212",212,7.81383,48.75262,"Hünd, Hing","nd"
"213",213,7.77586,48.7535,"Heng","ng"
"214",214,7.7384,48.7721,"Hund","nd"
"215",215,7.72687,48.75719,"Hund","nd"
"216",216,7.7144,48.75688,"Hund","nd"
"217",217,7.69085,48.75532,"Hund","nd"
"218",218,7.68522,48.76281,"Hünd","nd"
"219",219,7.67779,48.77853,"Hend","nd"
"220",220,7.70638,48.78331,"Hend","nd"
"221",221,7.70271,48.79349,"Hind","nd"
"222",222,7.95924,48.82979,"Hund, Hend","nd"
"223",223,7.9193,48.8066,"Hund","nd"
"224",224,7.90562,48.80154,"Hund","nd"
"225",225,7.83521,48.79041,"k.A.","0"
"226",226,7.86327,48.78298,"Hind","nd"
"227",227,7.85912,48.76826,"Hend","nd"
"228",228,7.90543,48.75592,"Hunde","nd"
"229",229,7.78868,48.81435,"Hünd","nd"
"230",230,7.98835,48.77367,"Hind","nd"
"231",231,7.09071,49.0616,"Hunde","nd"
"232",232,7.08355,49.01459,"Hund","nd"
"233",233,7.2617,48.13853,"Hond","nd"
"234",234,7.29975,48.16568,"Hend","nd"
"235",235,7.32264,48.15802,"Hend","nd"
"236",236,7.27884,48.0862,"Hund, Heund","nd"
"237",237,7.28497,48.10796,"Heind","nd"
"238",238,7.27596,48.09972,"Hend","nd"
"239",239,7.28695,48.13649,"Hend","nd"
"240",240,7.32417,48.14496,"hend","nd"
"241",241,7.3035,48.13267,"Hend","nd"
"242",242,7.30725,48.0936,"Hund ","nd"
"243",243,7.19258,48.11083,"Tchee, Tchee","0"
"244",244,7.28484,48.12465,"Hund","nd"
"245",245,7.32094,48.14982,"Hend","nd"
"246",246,7.37011,48.1551,"Hend","nd"
"247",247,7.47318,48.10199,"Hind","nd"
"248",248,7.43735,48.09944,"Hund","nd"
"249",249,7.42541,48.11028,"Hend","nd"
"250",250,7.44536,48.12387,"Hund","nd"
"251",251,7.43868,48.10708,"Hund","nd"
"252",252,7.47771,48.12279,"Hund, Hünd","nd"
"253",253,7.37665,48.125,"Hound","nd"
"254",254,7.50131,48.16133,"Hund","nd"
"255",255,7.45233,48.08996,"Hend","nd"
"256",256,7.48794,48.1443,"Hent","nd"
"257",257,7.54583,48.1675,"Hund","nd"
"258",258,7.65306,48.12469,"Hind","nd"
"259",259,7.6357,48.12586,"Hund","nd"
"260",260,7.59943,48.10194,"k.A.","0"
"261",261,7.65599,48.09787,"Hind","nd"
"262",262,7.62537,48.10625,"Hund","nd"
"263",263,7.64933,48.1663,"Hund","nd"
"264",264,7.50406,48.09192,"He<U+0358>nd","nd"
"265",265,7.55624,48.09319,"Hund","nd"
"266",266,7.5426,48.11609,"Hund","nd"
"267",267,7.65562,48.13337,"Hund","nd"
"268",268,7.61363,48.13798,"Hund","nd"
"269",269,7.63551,48.08944,"Hund","nd"
"270",270,7.60965,48.11815,"Hund","nd"
"271",271,7.70312,48.1419,"Hind","nd"
"272",272,7.7507,48.15056,"Hind","nd"
"273",273,7.77794,48.10762,"k.A.","0"
"274",274,7.78356,48.09119,"Hind","nd"
"275",275,7.79392,48.16302,"Hund, Hind","nd"
"276",276,7.68308,48.10435,"Hund","nd"
"277",277,7.74563,48.09417,"Hund","nd"
"278",278,7.80591,48.13912,"Hunde","nd"
"279",279,7.7031,48.16341,"Hünd","nd"
"280",280,7.73937,48.12209,"d'hind","nd"
"281",281,7.80344,48.12897,"Hünd","nd"
"282",282,7.67629,48.12873,"Hund, Hint","nd"
"283",283,7.84951,48.1209,"Hind","nd"
"284",284,7.96049,48.09361,"Hind","nd"
"285",285,7.8564,48.09846,"Hind","nd"
"286",286,7.88675,48.11814,"Hünd","nd"
"287",287,7.98804,48.10755,"Hind","nd"
"288",288,7.97753,48.14612,"Hund","nd"
"289",289,7.90788,48.10424,"Hund","nd"
"290",290,7.8346,48.13735,"Hint","nd"
"291",291,7.88416,48.12924,"Hund","nd"
"292",292,7.84077,48.14954,"Hund","nd"
"293",293,7.9721,48.10586,"Hind","nd"
"294",294,7.87829,48.10253,"Hünd","nd"
"295",295,7.92477,48.15747,"Hünd","nd"
"296",296,7.88578,48.17377,"Hind","nd"
"297",297,7.92037,48.14437,"Hunde","nd"
"298",298,7.98722,48.11814,"Hund","nd"
"299",299,7.13185,48.0418,"Hìnd","nd"
"300",300,7.13185,48.0418,"Hund, Hend","nd"
"301",301,7.10254,48.06373,"hénd","nd"
"302",302,7.07146,48.01325,"Huin","nn"
"303",303,7.14594,48.02896,"Hend","nd"
"304",304,7.12607,48.05444,"Hend","nd"
"305",305,7.11745,48.03105,"Hund","nd"
"306",306,7.10087,48.02382,"Hund","nd"
"307",307,7.13528,48.06037,"Hond","nd"
"308",308,7.10163,48.05432,"hond, hend","nd"
"309",309,7.08731,48.02582,"Hend","nd"
"310",310,7.17071,48.03351,"Hend","nd"
"311",311,7.17323,48.0464,"Hund","nd"
"312",312,7.47318,48.10199,"Hund, Hend","nd"
"313",313,7.30629,48.06133,"Hund","nd"
"314",314,7.27661,48.00444,"Hund","nd"
"315",315,7.30016,48.0108,"Hind","nd"
"316",316,7.28067,48.03226,"Hund","nd"
"317",317,7.22416,48.06257,"Hend","nd"
"318",318,7.20558,48.05217,"Hend","nd"
"319",319,7.32932,48.01677,"Hind","nd"
"320",320,7.20324,48.03797,"k.A.","0"
"321",321,7.30037,48.01773,"1 Hund, viel Hend","nd"
"322",322,7.28224,48.01954,"Hind, Hend","nd"
"323",323,7.30455,48.04168,"Hund","nd"
"324",324,7.23755,48.07261,"Hend","nd"
"325",325,7.36359,48.08198,"Hound","nd"
"326",326,7.36359,48.08198,"Hind","nd"
"327",327,7.36359,48.08198,"Hend","nd"
"328",328,7.36359,48.08198,"Huond","nd"
"329",329,7.36359,48.08198,"Hund (Hend= Mehrzahl)","nd"
"330",330,7.36359,48.08198,"Hend","nd"
"331",331,7.41499,48.04248,"Hend","nd"
"332",332,7.3831,48.00666,"Heng","ng"
"333",333,7.30991,48.0865,"Hund, Hend","nd"
"334",334,7.47996,48.06278,"Hind","nd"
"335",335,7.3934,48.08116,"Hund","nd"
"336",336,7.40918,48.0211,"Hund, Hend","nd"
"337",337,7.41118,48.0844,"Hund","nd"
"338",338,7.41512,48.06763,"Hend","nd"
"339",339,7.43962,48.02594,"Hind","nd"
"340",340,7.45782,48.00441,"Hund","nd"
"341",341,7.48632,48.08696,"Ho°nd","nd"
"342",342,7.59332,48.04535,"Hind","nd"
"343",343,7.64227,48.01556,"Hund","nd"
"344",344,7.64554,48.04572,"Hund","nd"
"345",345,7.62448,48.06769,"Hünd","nd"
"346",346,7.64262,48.07988,"Hund, Hind","nd"
"347",347,7.52909,48.01843,"Hend","nd"
"348",348,7.53422,48.07788,"Hend","nd"
"349",349,7.55292,48.01693,"Hund, Hend","nd"
"350",350,7.57243,48.0111,"Hund","nd"
"351",351,7.54467,48.04048,"Hund, Hend","nd"
"352",352,7.5016,48.02747,"Hund","nd"
"353",353,7.55708,48.00563,"Hind","nd"
"354",354,7.51347,48.00264,"Hund","nd"
"355",355,7.81511,48.00987,"Hünd'","nd"
"356",356,7.82538,48.08175,"Hund","nd"
"357",357,7.7624,48.03183,"Hünd","nd"
"358",358,7.68864,48.0173,"Hind","nd"
"359",359,7.76972,48.0689,"k.A.","0"
"360",360,7.80212,48.0489,"Hind","nd"
"361",361,7.79978,48.07044,"Hind","nd"
"362",362,7.72686,48.04969,"Hund","nd"
"363",363,7.78045,48.05415,"Hund","nd"
"364",364,7.80072,48.01663,"Hind","nd"
"365",365,7.77912,48.06092,"Hint","nd"
"366",366,7.72593,48.07743,"Hind","nd"
"367",367,7.71857,48.02338,"Hund. Mehrzahl Hünd","nd"
"368",368,7.6813,48.05162,"Hind","nd"
"369",369,7.86149,48.02593,"Hind","nd"
"370",370,7.87337,48.0328,"Hind","nd"
"371",371,7.92468,48.0349,"Hünd","nd"
"372",372,7.95,48.04291,"Hünd","nd"
"373",373,7.96407,48.04803,"Hind","nd"
"374",374,7.87313,48.04353,"Hind","nd"
"375",375,7.98047,48.00263,"Hünd","nd"
"376",376,7.85113,48.06391,"Hünd","nd"
"377",377,7.87987,48.06793,"Hund","nd"
"378",378,7.92471,48.07551,"Hund, Hünd","nd"
"379",379,7.91201,48.08253,"Hind","nd"
"380",380,7.9028,48.0513,"Hund","nd"
"381",381,6.96629,47.92912,"Hunda","nd"
"382",382,6.96296,47.98143,"Hind","nd"
"383",383,7.12943,47.94619,"Hund","nd"
"384",384,7.15877,47.9414,"Hünd","nd"
"385",385,7.15948,48.00283,"Hend","nd"
"386",386,7.07276,47.99621,"He-in","nn"
"387",387,7.03325,48.00405,"Hund, Hind","nd"
"388",388,7.1604,47.92318,"der Hund","nd"
"389",389,7.14925,47.94057,"Hünd, Hind","nd"
"390",390,7.12209,47.94246,"Hend","nd"
"391",391,7.29696,47.95968,"Hund","nd"
"392",392,7.21903,47.98623,"Hind","nd"
"393",393,7.2595,47.95742,"Hund, Händ","nd"
"394",394,7.19806,47.97442,"Hend","nd"
