data,X_utm,Y_utm,class
Hund,362999.836090402,5414792.77972914,nd
Hu̽nd,409788.014377911,5422752.53636694,nd
Hynd,412441.806646494,5421863.97837542,nd
Hund,414104.794686955,5421322.14283813,nd
Hund,410230.446761275,5420989.69292132,nd
Hund,408945.667551108,5419876.4287695,nd
Hund,407998.716383519,5421187.37039188,nd
Hund,406397.390151392,5421926.81733289,nd
Hund,405076.779632121,5423899.51709883,nd
"Hund, Hind(e)",407319.360050893,5424684.49838274,nd
Hund,423332.532410502,5427185.67389001,nd
Hund,419538.182150523,5426482.17826176,nd
Hund,422162.142179568,5425062.7722132,nd
Hund,426039.287131697,5424301.59069798,nd
Hund,422628.87333646,5422835.92021025,nd
Hund,425488.85909745,5420643.2758143,nd
"Hund, 3 Hund",426202.895907671,5419581.98809765,nd
Hund,422914.312800171,5419548.7265828,nd
"Hund, Hund",422445.200158948,5419954.38845552,nd
Hund,421095.847292637,5418463.48208837,nd
Hund,420323.142882689,5420898.29206768,nd
Hund,420441.892821202,5422696.66496419,nd
Hund,418175.416066671,5421145.15801783,nd
Hund,416232.362325339,5420721.54315424,nd
Hund,417880.919301003,5422531.53223941,nd
Hund,417361.320069043,5423637.74594517,nd
Hund,418188.203523164,5424154.76102958,nd
Hund,418254.435765673,5425422.41708591,nd
Hund,417354.021188869,5426543.15401507,nd
Hund,415591.546305294,5424013.46012678,nd
Hund,415086.878967162,5421263.70538689,nd
Hund,359051.705563588,5419287.94108979,nd
Hund,358553.885654518,5418190.52336006,nd
He(i)ng,361657.06878698,5418217.13606957,ng
Hünn ,364093.720557857,5419090.29987748,nn
Hinn,364639.468938525,5417413.137136,nn
Hünde,364934.562542934,5415942.31139432,nd
Hunn,362999.699537875,5414787.22198662,nn
Hund,361854.033129342,5413558.67063933,nd
Hun,365012.678251284,5412956.38197966,nn
Hun,359453.059399726,5411151.68827363,nn
Hunn,358945.10520828,5415771.44899364,nn
Hund,358945.10520828,5415771.44899364,nd
Hunn,357010.650064144,5415804.0513801,nn
Hend,376514.704256147,5419178.01337904,nd
Hůnn,374587.796296805,5418536.00754492,nn
Hund,373969.837713887,5418603.34008021,nd
Hund,371911.78521983,5419901.46806712,nd
Hund,371750.047978872,5418352.62339816,nd
Hunn,372070.021857441,5416705.95640552,nn
Hund,373042.397129198,5414351.56519312,nd
Hund,376831.283697007,5413101.1096336,nd
Hunn,368350.200387987,5418409.70603465,nn
Hun,367873.8861567,5416967.36085205,nn
Hunn,369482.882169226,5415682.70007016,nn
Hun,367245.322868003,5414161.79956546,nn
Hunn,370261.772588146,5413975.1483556,nn
Hund,371162.412604783,5413100.14021761,nd
Hunn,368429.463506793,5411573.52288986,nn
Hinn ,366364.087046689,5417955.40618486,nn
Hend,388783.328143805,5419851.32986727,nd
"Hund, Hend",384198.015812423,5418693.76065368,nd
Hund,379720.003417554,5414893.03498462,nd
Hind,385627.732678376,5414351.70616868,nd
Hend,388565.938721624,5414475.70192486,nd
Hund,389611.540770512,5412934.78609932,nd
Hund,388971.884589417,5411430.69442975,nd
Hend,387477.554815412,5411829.81075683,nd
Hénd,386304.351853961,5412132.70802939,nd
Hund,383613.604730582,5412326.0730593,nd
Hend,396717.741531873,5419476.07262758,nd
Hēnd,393238.531221175,5418497.54036902,nd
Hend,392193.46995458,5418013.93586974,nd
Hund,392981.263152089,5416589.84668453,nd
Hund,393893.039112546,5415377.02570952,nd
Hund,398466.805358281,5415605.41694267,nd
Hůnt,399745.701948134,5417846.19774111,nd
Hund,401748.31244449,5417930.60352703,nd
Hund,400165.462211534,5414803.04562075,nd
Hend,398715.751489186,5412676.4562131,nd
Hend,399350.005036072,5411515.22884471,nd
Hend,399227.692326948,5411162.72613528,nd
Hund,397929.221218166,5411071.78781577,nd
Hünd,397122.491339879,5413093.68086511,nd
Hung,393615.261469617,5412270.98897606,ng
Hund,391861.665657817,5414399.69534831,nd
Hund,392831.86357174,5411216.24976876,nd
Hund,397929.221218166,5411071.78781577,nd
Hund,409496.585974262,5418835.60498321,nd
"Hund, Hind",406001.185433241,5418415.39040277,nd
Hind,405792.165852561,5416586.48796962,nd
Hund,407865.142616071,5417142.24655967,nd
Hunde,408049.732223986,5416156.27807672,nd
"Hund, Hend",409701.030691852,5416709.68430366,nd
Hund  ,411464.872084564,5417032.73368719,nd
"Hund, e paår Hund",411252.824982917,5415547.29941564,nd
Hend,407346.912824788,5414277.68702376,nd
"Hund, Hind",406180.509683849,5415092.20225998,nd
Hend,403140.756513807,5413021.52410857,nd
Hund ,403135.530290011,5416098.31001943,nd
Hūnd,421095.847292637,5418463.48208837,nd
Hunde,418245.162594865,5418462.35212383,nd
Hund,415671.360926071,5418069.33006099,nd
Hund,417675.090191159,5417177.67021208,nd
Hund,419242.905968439,5416768.91532883,nd
Hund,420578.597703617,5416775.28863453,nd
"Hund, Hund",420621.315498531,5416737.98945267,nd
Hund,423481.171630013,5417132.70265829,nd
Hund,425085.068544022,5417035.30157481,nd
Hind,408775.521536035,5415211.47209426,nd
Hunn,357755.54633988,5409624.17762135,nn
Hund,374894.214365494,5408031.82659233,nd
Hund,373810.53823151,5408799.08928,nd
Hung,372915.920477443,5410439.73878412,ng
Hund,370516.54618911,5409964.37121022,nd
Hunn,372102.289899948,5407289.85144086,nn
Hund,388327.376406832,5409149.46844284,nd
Hund,388327.376406832,5409149.46844284,nd
Hind,388371.931883658,5407520.59607807,nd
Hond,386474.391380919,5406559.11460135,nd
Hend,385266.473210791,5407907.09030423,nd
Hund,382811.525661695,5409110.11978753,nd
Hend,382621.287916881,5407114.64791169,nd
Hund,384238.804424402,5405485.14308153,nd
Hind,381030.826479982,5405312.26662469,nd
Hend,379542.420094449,5403107.76350497,nd
Hénd,379270.484328014,5402905.66703978,nd
Hūnd,383414.035305845,5403069.13991282,nd
Hund,386165.627638315,5402792.31617251,nd
Hind,387312.195136167,5401250.1151413,nd
Hund,388281.617538822,5403660.40792485,nd
"Hund, Hind",401296.224252921,5409401.16591601,nd
Hund,399206.565367194,5408324.32489014,nd
Hund,396056.210398828,5407717.09792036,nd
Hung,394241.218565895,5408475.0452022,ng
Hung,394297.04077611,5409795.00979247,ng
Hund,392099.859251757,5407744.27570368,nd
Hung,393837.578808183,5407094.96084312,ng
Hund,400324.310832689,5406358.39699148,nd
Hēin,398585.360197543,5404558.31388348,nn
Hund,396798.592208552,5405366.02069948,nd
Hund,393310.398503878,5405602.72498739,nd
Hund,391699.621158092,5405583.650691,nd
Hend,391699.621158092,5405583.650691,nd
Hung,392132.795290876,5404387.68632741,ng
"Hund, Hend",394203.695337233,5404162.43982474,nd
Hund,391210.447162346,5401734.5718911,nd
Hund,391210.447162346,5401734.5718911,nd
Hind,394903.398918062,5401468.32851292,nd
Hung,397088.769503907,5401288.74338168,ng
Hend,401570.313081085,5404202.55160374,nd
Hénd,402663.118508609,5408346.42946934,nd
Hind,404583.154136243,5407357.07121224,nd
Hend,407158.011026326,5408385.56347303,nd
Hend,411073.047004995,5407525.77925132,nd
Hund,397999.11993752,5411483.04376612,nd
Heng,410023.183632751,5400776.88553751,ng
Hund,407304.09283002,5402889.32235666,nd
Hund,406429.246838622,5401246.06508841,nd
Hund,405512.182351381,5401226.99655719,nd
Hund,403778.385664636,5401083.06603673,nd
Hünd,403378.962439054,5401922.75593594,nd
Hend,402863.288831477,5403679.59352843,nd
Hend,404972.643251352,5404174.85641858,nd
Hind,404722.334360684,5405311.02488948,nd
"Hund, Hend",423617.684777081,5409056.86140217,nd
Hund,420649.899160642,5406519.93486986,nd
Hund,419637.379909067,5405971.81956621,nd
Hind,416496.785370333,5403954.28440858,nd
Hend,416167.426527336,5402322.59654519,nd
Hunde,419550.551550728,5400900.97744454,nd
Hünd,411073.047004995,5407525.77925132,nd
Hind,425671.177517214,5402789.80388343,nd
Hunde,360525.628716431,5436059.39343292,nd
Hůnd,359870.578045415,5430847.08350483,nd
Hond,370680.310051967,5333158.66858765,nd
Hend,373577.647700273,5336112.93643195,nd
Hend,375261.009225792,5335224.18735161,nd
"Hund, Hēund",371825.280553393,5327313.89629302,nd
Heind,372335.662434711,5329722.16597938,nd
Hend,371644.474345626,5328821.33971211,nd
Hend,372553.656105096,5332889.78904875,nd
hend,375343.151343667,5333770.17058172,nd
Hend,373775.528048467,5332437.93116611,nd
Hund ,373958.994258015,5328089.43347195,nd
Hund,372367.339530999,5331577.35426328,nd
Hend,375114.688921384,5334315.56880283,nd
Hend,378784.190792889,5334823.72505271,nd
Hind,386332.198714481,5328763.52095462,nd
Hund,383659.0629814,5328533.64679909,nd
Hend,382794.793427085,5329756.55952371,nd
Hund,384310.260288764,5331236.80820036,nd
Hund,383775.308121379,5329380.77301002,nd
"Hund, Hünd",386715.17372503,5331068.6316695,nd
Hound,379199.946969311,5331468.00944461,nd
Hund,388554.850019308,5335317.65917761,nd
Hend,384753.123473832,5327457.47146681,nd
Hent,387523.440050803,5333444.33187449,nd
Hund,391878.325066051,5335939.85465293,nd
Hind,399767.681993787,5331036.48314386,nd
Hund,398478.172648882,5331189.28515388,nd
Hind,399933.648977404,5328051.76837148,nd
Hund,397670.562590379,5329023.4212618,nd
Hund,399571.339675202,5335666.10640935,nd
He͘nd,388609.32443419,5327599.15620209,nd
Hund,392497.309687144,5327666.11393627,nd
Hund,391529.896735125,5330230.45263733,nd
Hund,399975.039575494,5331997.89021972,nd
Hund,396860.186809837,5332565.72045188,nd
Hund,398392.260780396,5327141.65085892,nd
Hund,396524.265502535,5330367.06329454,nd
Hind,403525.066965962,5332885.28874043,nd
Hind,407080.117199966,5333789.22754722,nd
Hind,409419.79814886,5327151.33918334,nd
"Hund, Hind",410316.383341924,5335122.79364466,nd
Hund,401962.881705205,5328737.12117915,nd
Hund,406600.847859584,5327527.8787972,nd
Hūnde,411166.69567165,5332452.48528254,nd
Hünd,403563.897661172,5335276.05828441,nd
d'hind,406185.57605501,5330638.66383061,nd
Hünd,410965.397302662,5331327.21051192,nd
"Hund, Hint",401504.031222032,5331455.50629675,nd
Hind,414379.947896773,5330377.97340688,nd
Hind,422598.064443591,5327227.26306441,nd
Hind,414855.634473635,5327876.22201113,nd
Hünd,417146.891269308,5330030.44226267,nd
Hind,424669.785440184,5328749.30317373,nd
Hund,423944.402139094,5333046.56067042,nd
Hund,418697.535956769,5328462.97934182,nd
Hint,413298.050921917,5332223.02191424,nd
Hund,416972.026682895,5331266.95469506,nd
Hund,413777.491908577,5333570.95785684,nd
Hind,423480.718000572,5328577.19136567,nd
Hünd,416491.979193401,5328304.60162425,nd
Hünd,420037.57840118,5334361.59189978,nd
Hind,417164.272973757,5336214.56174875,nd
Hunde,419689.924967393,5332910.15546036,nd
Hund,424624.236071873,5329927.14414908,nd
Hìnd,360759.605747063,5322634.46301878,nd
"Hund, Hend",360759.605747063,5322634.46301878,nd
hénd,358635.15766852,5325125.17437866,nd
Huin,356179.248544774,5319572.3574905,nn
Hēnd,361775.400631526,5321182.04458426,nd
Hend,360362.9990299,5324049.74434106,nd
Hund,359657.158845293,5321465.83716159,nd
Hůnd,358401.369164466,5320692.63296684,nd
Hond,361065.222198466,5324692.14989373,nd
"hōnd, hend",358541.57900503,5324081.01289179,nd
Hend,357395.896774874,5320939.92328753,nd
Hend,363634.005460046,5321643.58879172,nd
Hund,363855.83104493,5323071.7346374,nd
"Hund, Hend",386332.198714481,5328763.52095462,nd
Hund,373808.607209036,5324504.44725003,nd
Hund,371455.892349983,5318230.68719117,nd
Hind,373227.975391613,5318898.53461117,nd
Hund,371827.701768402,5321315.86630125,nd
Hend,367692.817990604,5324780.11794654,nd
Hend,366281.646249937,5323656.3414582,nd
Hind,375417.013642615,5319514.4914019,nd
"1 Hund, viel Hend",373260.624302885,5319668.39660994,nd
"Hind, Hend",371913.218431913,5319899.54014974,nd
Hund,373630.892087927,5322323.36517382,nd
Hend,368715.936426166,5325873.05903983,nd
Hound,378126.451651737,5326707.22745244,nd
Hind,378126.451651737,5326707.22745244,nd
Hend,378126.451651737,5326707.22745244,nd
Huond,378126.451651737,5326707.22745244,nd
Hund (Hend= Mehrzahl),378126.451651737,5326707.22745244,nd
Hend,378126.451651737,5326707.22745244,nd
Hend,381864.05720327,5322237.00013448,nd
Heng,379403.712559225,5318305.30392472,ng
"Hund, Hend",374139.7222753,5327295.96945851,nd
Hind,386750.889720477,5324395.60073819,nd
Hund,380344.621782497,5326569.32639513,nd
"Hund, Hēnd",381381.964009856,5319869.71118953,nd
Hund,381676.225934818,5326901.94674695,nd
Hend,381931.270618944,5325032.03312157,nd
Hind,383662.529351546,5320361.22828216,nd
Hund,384971.548009486,5317941.0223268,nd
Ho°nd,387277.560423642,5327073.70944663,nd
Hind,395161.098450993,5322297.87915254,nd
Hund,398750.890188225,5318921.46192959,nd
Hund,399053.665000923,5322269.24997293,nd
Hünd,397527.730653147,5324738.88739061,nd
"Hund, Hind",398902.966448434,5326069.75206384,nd
Hend,390317.065957414,5319395.33336947,nd
Hend,390825.332520046,5325995.49362758,nd
"Hund, Hend",392090.853063462,5319194.97682573,nd
Hund,393533.684714007,5318519.88105062,nd
"Hund, Hend",391525.101497987,5321823.97160705,nd
Hůnd,388286.775728101,5320439.55280388,nd
Hind,392377.544885869,5317933.2509055,nd
Hund,389118.489865188,5317662.74878024,nd
Hünd',411630.047062615,5318076.4389122,nd
Hund,412517.799440649,5326053.76665199,nd
Hünd,407738.15662923,5320578.92852822,nd
Hind,402212.036715969,5319054.97179707,nd
Hind,410728.697196289,5322429.35954531,nd
Hind,410591.621929272,5324826.1252378,nd
Hund,405121.535294062,5322607.12412189,nd
Hund,409123.017332864,5323038.20759459,nd
Hind,410568.537739878,5318844.36801153,nd
Hint,409035.83928007,5323792.22463847,nd
Hind,405103.238412468,5325691.40968897,nd
Hund. Mehrzahl Hünd,404455.111058215,5319693.17913727,nd
Hind,401729.992780243,5322878.75434089,nd
Hind,415115.422136697,5319809.27591706,nd
Hind,416012.318830601,5320559.81817333,nd
Hünd,419840.571014921,5320738.56570181,nd
Hünd,421740.154194192,5321602.8022829,nd
Hind,422796.476480384,5322157.66667393,nd
Hind,416011.870905906,5321752.65857559,nd
Hünd,423951.926569362,5317095.39999041,nd
Hünd,414405.970910949,5324042.00345048,nd
Hund,416553.651055999,5324457.26300314,nd
"Hund, Hünd",419905.819784665,5325252.12728719,nd
Hind,418970.883440887,5326045.65542777,nd
Hund,418235.513824912,5322584.33131997,nd
Hunda,348089.909331976,5310423.95611396,nd
Hind,347994.741083538,5316244.13693525,nd
Hůnd,360321.364578795,5312012.78214478,nd
Hünd,362499.448368714,5311427.71690001,nd
Hend,362715.435339094,5318253.74671636,nd
He-in,356228.831131975,5317676.11620977,nn
"Hund, Hind",353303.758733248,5318621.89971775,nd
der Hund,362572.889414808,5309399.86516321,nd
"Hünd, Hind",361786.319695879,5311352.48342235,nd
Hend,359763.202274519,5311611.55159577,nd
Hůnd,372863.823928136,5313222.30079307,nd
Hind,367114.497420374,5316304.46262351,nd
"Hund, Händ",370061.76019603,5313033.55297123,nd
Hend,365519.214716751,5315028.26020562,nd
Hund,372580.844705105,5309747.0681468,nd
Hund,363865.152021837,5311073.91185442,nd
Hund,368161.74302002,5309938.7475157,nd
Hund,367980.659783563,5310287.60468323,nd
Hénd,368207.426953668,5314024.21653966,nd
Hend,368207.426953668,5314024.21653966,nd
Hund,364526.66513868,5309907.39611608,nd
Hund,372437.107771159,5316410.80081133,nd
Hond,372437.107771159,5316410.80081133,nd
Hend,387180.683845441,5314695.1334012,nd
Hend,379546.436147001,5312752.83475529,nd
Hund,378929.538564702,5311296.95932826,nd
Hund,379146.037107024,5311859.47857361,nd
Hund,380464.007536726,5316008.22391584,nd
Hund,378929.538564702,5311296.95932826,nd
Hind,385262.803582507,5310950.53541839,nd
Hind,380152.65189532,5313709.75214094,nd
Hünd,380152.65189532,5313709.75214094,nd
Hund,390860.236281177,5313935.96041233,nd
Hund ,399958.437669092,5314882.40333838,nd
Hend,399144.705840531,5310101.5884666,nd
Hïnd,397458.047153041,5310200.28235364,nd
Hend,392476.647008552,5316170.2890007,nd
Hünd ,395555.984276979,5314895.03190568,nd
Hend ,392610.166597661,5309920.57967627,nd
Hend ,390879.985172329,5309419.41094944,nd
Hĭͤnd',402133.772299212,5310323.5409635,nd
Hund,402133.772299212,5310323.5409635,nd
Hund,411439.130139317,5311046.80710366,nd
Hünd,403812.654294625,5309805.00111052,nd
Hind,406130.791270423,5308149.23875882,nd
Hund,404914.973881596,5310234.73330903,nd
Hind,406983.014545993,5310530.04762473,nd
"Hund, Hind",407579.775817871,5312852.81032465,nd
Hind,407744.079517789,5312482.19949736,nd
Hind,408905.473603234,5312309.18369763,nd
Hund,412633.240067939,5312169.15984733,nd
Hünd,412317.812829789,5313227.83087703,nd
Hind,410868.225128458,5314694.18253522,nd
Hünd,412083.937310457,5315804.95870251,nd
Hind,404186.43316702,5315115.06622507,nd
Hund,404209.975162542,5317155.82204867,nd
Hund,402880.781175452,5313643.88841573,nd
Hund,403988.138313592,5312489.12252404,nd
Hend,400849.070249427,5315711.921596,nd
"Hund, Hünd",408796.68296677,5308123.13392085,nd
Hund,408796.68296677,5308123.13392085,nd
Hind,411092.590585111,5309546.92030003,nd
Hind,400999.094819766,5308848.74040129,nd
Hind,418162.469936368,5314412.40773552,nd
Hünd,418135.49716915,5315454.4159455,nd
Hĭnde,421135.060314481,5317326.7716844,nd
Hund,422466.792509646,5315064.25725175,nd
"Hund, Hünd",421661.969165798,5314329.24721737,nd
Hund,423838.139057157,5313570.80762457,nd
Hind,421814.688293973,5312768.65290675,nd
Hund,421202.489820196,5309220.87142713,nd
"Hund, Hind",414783.902624969,5309397.78441068,nd
Hind,418509.059728163,5312901.1971316,nd
Hĭnd,348703.633609055,5308290.2998201,nd
Hunda,349476.371989206,5306727.55741367,nd
Hend,349611.129696505,5305498.48305172,nd
Hund,348566.280709847,5304108.94709446,nd
Hunde,347125.191094579,5305270.18431124,nd
Hunda,351300.792255279,5304967.60330281,nd
Hunda,350829.168746121,5303913.25793804,nd
Hund,353030.550869379,5303149.52528072,nd
Hundă,355653.110581023,5300709.14070391,nd
Hunda,352830.341804987,5304132.14990301,nd
Hunde,354049.727347358,5302673.29171586,nd
Hund,358168.988209367,5303991.88287189,nd
Hénd,362238.814433688,5307367.28561387,nd
Hunda,354827.059945889,5304806.67772925,nd
Hend,363971.258842258,5306733.47464098,nd
Hend,363971.258842258,5306733.47464098,nd
Hund,366301.148409903,5307790.99561499,nd
Hind,367574.596204817,5305162.94004612,nd
Hund,366128.365903425,5303854.14168367,nd
Hend,366301.148409903,5307790.99561499,nd
Hünd,366484.197239349,5300992.58380438,nd
"Hund, Hünd",372919.409163844,5299281.93619531,nd
Hend,369825.991945586,5302212.88127097,nd
Hend,373203.056084436,5304120.33554072,nd
"Hund, Hind",371577.358911234,5305221.49874343,nd
Hund,369487.848113191,5306981.88890389,nd
Hėnd,372375.607240932,5307733.44210494,nd
Hend,366301.148409903,5307790.99561499,nd
"Hund, Hūnda",366301.148409903,5307790.99561499,nd
Hund,366301.148409903,5307790.99561499,nd
Hund,370762.82321414,5302745.59498601,nd
"Hund, Hend",376921.930274095,5302631.10094238,nd
Hundä˘,384289.675363713,5302840.17508507,nd
Hund (Hind),385403.911445838,5305078.31926886,nd
Hund,383974.222048779,5307391.72654167,nd
Hünd,377398.752841512,5307746.78757434,nd
"Hund, Hënd",376905.517714078,5306211.75264893,nd
Hunde,367787.061549389,5270255.60502522,nd
Hunde,370425.251084569,5271480.65658156,nd
Hung,373624.696836275,5271622.83642884,ng
Heng,372174.5264585,5269190.5386133,ng
Hunda,363641.193361797,5269171.24091442,nd
Hunda,366056.054639596,5266105.40335473,nd
"Hung, Hüng",371033.085515006,5266745.06824112,ng
Hend,371033.085515006,5266745.06824112,nd
Heng,374480.880779034,5266624.3946491,ng
Heng,373299.477490766,5267728.38960932,ng
Hunde,369729.197108795,5269011.09723899,nd
Hing,361906.308813928,5262475.89864206,ng
Hunda,365842.11286446,5263311.64863769,nd
Heing,369788.817186092,5262867.76809819,ng
Hunde,362741.180204185,5266358.00913114,nd
"Hing, Hung",367504.325113481,5260596.33827165,ng
Hêng,368721.43336487,5262439.09096706,ng
Hunda,372009.869405447,5262492.97777652,nd
Hing,372009.869405447,5262492.97777652,ng
Hing,372009.869405447,5262492.97777652,ng
Cheng,370552.566477346,5260781.64308631,ng
"Hung, Heng",372587.245475153,5259042.55347262,ng
Hung,369120.196189731,5257828.1297024,ng
Hund,380992.137683694,5270497.28314989,nd
Hung,383145.306641386,5269259.7129591,ng
Hong,384333.318023215,5269557.35649968,ng
Hend,383176.427659944,5267618.10055478,nd
Heng,383176.427659944,5267618.10055478,ng
Hing,385661.492528728,5267452.18969623,ng
Hünd,384794.648331981,5264332.93189509,nd
Hing,385343.954232045,5264502.23914943,ng
Hing,378155.912990049,5267254.82594025,ng
Hung,375265.182961076,5262591.66397971,ng
Hing,374849.865437537,5265081.03299925,ng
Hung,376368.925885043,5263912.42528931,ng
Heng,378220.227359547,5262462.69566858,ng
Hung,375320.478800309,5268218.58026501,ng
"Hund, Hundä",378432.738896297,5271509.54122759,nd
Hung,383255.778238908,5271734.5593765,ng
Hing,374569.380651024,5260110.48244611,ng
"Hung, Hing (Mehrzahl)",379030.137399655,5260714.82344926,ng
"Hung, Hing (Mehrzahl)",379030.137399655,5260714.82344926,ng
Hung,383881.085864796,5261749.47062649,ng
"Hung, Hing (Merzahl)",385678.931311905,5261334.96322437,ng
"Hung, Heng",376918.236548769,5259230.11046182,ng
"Hong, Heng",377988.825998579,5258334.94474088,ng
Hung,379994.668724283,5257695.37002083,ng
"Hing, Hung (Einzahl)",383039.423939268,5258538.77413176,ng
Hung,376233.307208213,5255423.25428669,ng
Hend,388781.596239689,5270272.47661592,nd
"Hun, Hün",387903.588565915,5268466.00391335,nn
Hend,388925.472791475,5268582.10852707,nd
Hīnd,391990.295555909,5271259.45489644,nd
Hung,388232.020542477,5264508.57207578,ng
Hünd,399635.968045726,5267299.86088485,nd
Hünd,390737.666584984,5270480.10765234,nd
Hünde,367848.987048899,5279978.95139549,nd
Hunda,371406.47572977,5279428.90891828,nd
Hunda,369629.072081298,5277720.54938307,nd
Hunda,367318.06772432,5277811.67186539,nd
Hond,365714.950686442,5274999.66703074,nd
Hend,367774.260624911,5276224.60184642,nd
"Hund, Hind",367774.260624911,5276224.60184642,nd
Hund,370620.9725111,5275519.12076895,nd
Hund,371702.546626254,5275919.94211542,nd
Hunde,372438.558196082,5275615.80428742,nd
Hung,373966.045066999,5273737.98530149,ng
Hunde,366197.508278109,5272765.84126687,nd
Hünda,368781.873981655,5271764.22962314,nd
Hunda,375861.16064123,5279671.29115033,nd
Hüng,381562.063439891,5280538.64028137,ng
Hüng,381875.256556871,5279392.66419799,ng
Heng,383062.82281487,5278643.78366902,ng
Heng,384053.784697243,5278910.80230669,ng
Hunde,375951.507382107,5276648.46256879,nd
"Hing, Heng",380686.56272369,5277433.43189297,ng
Hung,381999.08534371,5275939.10218356,ng
Heng,385596.121368611,5276736.76378754,ng
Hung,376332.338234237,5273095.80884158,ng
Hunda,377371.8880832,5272679.15317024,nd
Hend,371825.280553393,5327313.89629302,nd
Heng,384555.554022727,5272194.53818008,ng
Heng,384555.554022727,5272194.53818008,ng
Hing,382896.984728697,5275214.99258408,ng
Heng,384222.724246864,5275921.16791248,ng
Hung,379395.092170957,5278750.86920805,ng
Hung,379395.092170957,5278750.86920805,ng
Hunde,377349.034309843,5275773.86826149,nd
Hünd,392212.449793747,5278386.00145643,nd
Hünd,392212.449793747,5278386.00145643,nd
Hung,394610.970349127,5279872.92799565,ng
Hūng,396948.64357823,5279097.3239048,ng
Hünd,398511.030630521,5278974.26103375,nd
Hüng,398947.942484333,5280560.83626275,ng
Hünd,397956.539673239,5277293.05657686,nd
Hünd,396630.578570312,5276242.53394071,nd
Hünd,394462.865315368,5276259.1722247,nd
Hind,389948.682797612,5276978.6346283,nd
Hend,389452.091210462,5275558.32501214,nd
Huend,386956.047251659,5273081.39887184,nd
Hend,386956.047251659,5273081.39887184,nd
Hend,386956.047251659,5273081.39887184,nd
Hünd,392630.349227626,5273423.2872262,nd
Hind,393522.417864042,5271837.17722223,nd
Hund,397228.172766254,5271946.35572434,nd
Hünd,399604.128958225,5274106.10905687,nd
Hünd,399604.128958225,5274106.10905687,nd
"Hund, Hünd",398997.640545438,5275763.00121248,nd
Hünd,395825.816233476,5274312.48876563,nd
Hüng,396410.514556638,5275277.03389215,ng
Hünd,404479.352377613,5279442.41624394,nd
"Hund, Hünd",409807.740730552,5278914.95598049,nd
Hünd,411620.256391719,5278041.20146243,nd
Hünd,400769.410073814,5276804.21481942,nd
Hünd,401889.801124781,5277434.4520379,nd
Hünd,401768.681665949,5276444.87731885,nd
Hund,405299.554295136,5277555.86182095,nd
Hünd,405788.437788722,5276987.65621675,nd
Hünd,405428.089073343,5276079.71575623,nd
Hünd,408200.350339759,5277095.87203842,nd
Hünd,410787.513557253,5276588.77770726,nd
Hünd,411091.755244911,5274566.52879954,nd
Hünd,406902.883264373,5274228.4134949,nd
Hünd,409100.112334191,5272886.45409164,nd
Hünd,408880.233181358,5268047.64351044,nd
Hünd,401333.931064826,5271356.30760473,nd
"Hund, Hünde",409677.640326391,5271292.30268681,nd
"Hund, Hünd",409677.640326391,5271292.30268681,nd
Hünd,407615.03279394,5269643.81322563,nd
"Hund, Hünd ",408880.233181358,5268047.64351044,nd
Hund,404378.710969586,5267617.15407509,nd
Hünd,401511.158970215,5267104.5280092,nd
Hund,412606.890632815,5279366.92114421,nd
Hund,415067.8149526,5279676.19230714,nd
Hünd,417237.441646837,5278425.50298533,nd
Hünd,422999.415062465,5278359.76571783,nd
