"","utm_x","utm_y","l).Hunde","class","n_places","new"
"156",367114.497420374,5316304.4626235,"Hind","nd",1,"nd"
"157",367227.038988961,5422438.0446923,"Hunn","nn",1,"nn"
"158",367245.322868003,5414161.79956546,"Hun","nn",1,"nn"
"159",367318.06772432,5277811.67186539,"Hunda","nd",1,"nd"
"160",367471.466030509,5289929.30608795,"Hund","nd",1,"nd"
"161",367504.325113481,5260596.33827164,"Hing, Hung","ng",1,"ng"
"162",367574.596204817,5305162.94004612,"Hind","nd",1,"nd"
"163",367631.990109276,5426827.14228867,"Hund","nd",1,"nd"
"164",367692.817990604,5324780.11794654,"Hend","nd",1,"nd"
"165",367774.260624911,5276224.60184642,"Hend, Hund, Hind","nd, nd",2,"nd"
"167",367787.061549389,5270255.60502522,"Hunde","nd",1,"nd"
"168",367848.987048899,5279978.95139549,"Hünde","nd",1,"nd"
"169",367873.8861567,5416967.36085205,"Hun","nn",1,"nn"
"170",367980.659783563,5310287.60468323,"Hund","nd",1,"nd"
"171",368161.74302002,5309938.7475157,"Hund","nd",1,"nd"
"172",368207.426953668,5314024.21653966,"Hend, Hénd","nd, nd",2,"nd"
"174",368280.930455451,5296733.73012294,"Hünd, Hünd","nd, nd",2,"nd"
"176",368350.200387987,5418409.70603464,"Hunn","nn",1,"nn"
"177",368429.463506793,5411573.52288986,"Hunn","nn",1,"nn"
"178",368715.936426166,5325873.05903983,"Hend","nd",1,"nd"
"179",368721.43336487,5262439.09096706,"Hêng","ng",1,"ng"
"180",368781.873981655,5271764.22962314,"Hünda","nd",1,"nd"
"181",369120.196189731,5257828.1297024,"Hung","ng",1,"ng"
"182",369270.818857842,5420740.27339382,"Hund","nd",1,"nd"
"183",369399.90200224,5298488.58692261,"Hend","nd",1,"nd"
"184",369482.882169226,5415682.70007016,"Hunn","nn",1,"nn"
"185",369487.848113191,5306981.88890389,"Hund","nd",1,"nd"
"186",369629.072081298,5277720.54938307,"Hunda","nd",1,"nd"
"187",369729.197108795,5269011.09723898,"Hunde","nd",1,"nd"
"188",369752.723954387,5281162.45306538,"Hunde, Hind, Hunda, Hind","nd, nd",2,"nd"
"190",369770.068627355,5425752.28156856,"Hund, Hunn","nd, nn",1,"nd, nn"
"191",369788.817186092,5262867.76809819,"Heing","ng",1,"ng"
"192",369825.991945586,5302212.88127097,"Hend","nd",1,"nd"
"193",370031.628957084,5283324.4282244,"Hundea","nd",1,"nd"
"194",370061.76019603,5313033.55297123,"Hund, Händ","nd",1,"nd"
"195",370068.84553802,5288408.36738147,"Hunda","nd",1,"nd"
"196",370261.772588145,5413975.1483556,"Hunn","nn",1,"nn"
"197",370425.251084569,5271480.65658156,"Hunde","nd",1,"nd"
"198",370516.54618911,5409964.37121022,"Hund","nd",1,"nd"
"199",370552.566477346,5260781.64308631,"Cheng","ng",1,"ng"
"200",370620.9725111,5275519.12076895,"Hund","nd",1,"nd"
"201",370680.310051967,5333158.66858765,"Hond","nd",1,"nd"
"202",370762.82321414,5302745.59498601,"Hund","nd",1,"nd"
"203",371011.165665963,5284465.65456829,"Hundä","nd",1,"nd"
"204",371033.085515006,5266745.06824112,"Hung, Hüng, Hend","ng, nd",2,"nd, ng"
"206",371139.912295703,5423947.54479883,"Hunn","nn",1,"nn"
"207",371162.412604783,5413100.14021761,"Hund","nd",1,"nd"
"208",371226.64878013,5366256.90191519,"Hunde","nd",1,"nd"
"209",371232.994927329,5291111.04465755,"Hund","nd",1,"nd"
"210",371233.09365825,5291115.49011501,"Hund","nd",1,"nd"
"211",371353.349627379,5357026.25258842,"Hend","nd",1,"nd"
"212",371406.47572977,5279428.90891828,"Hunda","nd",1,"nd"
"213",371455.892349983,5318230.68719117,"Hund","nd",1,"nd"
"214",371577.358911234,5305221.49874343,"Hund, Hind","nd",1,"nd"
"215",371644.474345626,5328821.33971211,"Hend","nd",1,"nd"
"216",371702.546626254,5275919.94211542,"Hund","nd",1,"nd"
"217",371750.047978872,5418352.62339816,"Hund","nd",1,"nd"
"218",371825.280553393,5327313.89629302,"Hund, Heund, Hend","nd, nd",2,"nd"
"220",371827.701768402,5321315.86630125,"Hund","nd",1,"nd"
"221",371911.78521983,5419901.46806712,"Hund","nd",1,"nd"
"222",371913.218431913,5319899.54014974,"Hind, Hend","nd",1,"nd"
"223",372009.869405447,5262492.97777652,"Hing, Hing, Hunda","ng, ng, nd",3,"nd, ng"
"226",372054.550557507,5283684.2731996,"Hunda","nd",1,"nd"
"227",372070.021857441,5416705.95640552,"Hunn","nn",1,"nn"
"228",372102.289899948,5407289.85144086,"Hunn","nn",1,"nn"
"229",372174.5264585,5269190.5386133,"Heng","ng",1,"ng"
"230",372335.662434711,5329722.16597938,"Heind","nd",1,"nd"
"231",372367.339530999,5331577.35426328,"Hund","nd",1,"nd"
"232",372375.607240932,5307733.44210494,"Hend","nd",1,"nd"
"233",372437.107771159,5316410.80081133,"Hund, Hond","nd, nd",2,"nd"
