hunde,X,Y
Hénd,379270.484328014,5402905.66703978
Hūnd,383414.035305845,5403069.13991282
Hund,386165.627638315,5402792.31617251
Hind,387312.195136167,5401250.1151413
Hund,388281.617538822,5403660.40792485
"Hund, Hung",388302.914786822,5405352.45079381
"Hund, Hind",401296.224252921,5409401.16591601
Hund,399206.565367194,5408324.32489014
Hund,396056.210398828,5407717.09792036
Hung,394241.218565895,5408475.0452022
Hung,394297.04077611,5409795.00979247
Hund,392099.859251757,5407744.27570368
Hung,393837.578808183,5407094.96084312
Hund,400324.310832689,5406358.39699148
Hēin,398585.360197543,5404558.31388348
Hund,396798.592208552,5405366.02069948
Hund,393310.398503878,5405602.72498739
Hund,391699.621158092,5405583.650691
Hend,391699.621158092,5405583.650691
"Hůnd, Hůng",390509.752518825,5406875.60328422
Hung,392132.795290876,5404387.68632741
"Hund, Hend",394203.695337233,5404162.43982474
Hund,391210.447162346,5401734.5718911
Hund,391210.447162346,5401734.5718911
Hind,394903.398918062,5401468.32851292
Hung,397088.769503907,5401288.74338168
Hend,401570.313081085,5404202.55160374
Hénd,402663.118508609,5408346.42946934
Hind,404583.154136243,5407357.07121224
Hend,407158.011026326,5408385.56347303
Hunnd,407158.011026326,5408385.56347303
Hend,411073.047004995,5407525.77925132
Hund,397999.11993752,5411483.04376612
"Hünd, Hing",412812.481691172,5400634.92370456
Heng,410023.183632751,5400776.88553751
Hund,407304.09283002,5402889.32235666
Hund,406429.246838622,5401246.06508841
Hund,405512.182351381,5401226.99655719
Hund,403778.385664636,5401083.06603673
Hünd,403378.962439054,5401922.75593594
Hend,402863.288831477,5403679.59352843
Hend,404972.643251352,5404174.85641858
Hind,404722.334360684,5405311.02488948
"Hund, Hend",423617.684777081,5409056.86140217
Hund,420649.899160642,5406519.93486986
Hund,419637.379909067,5405971.81956621
k.A.,414448.190712139,5404811.33443335
Hind,416496.785370333,5403954.28440858
Hend,416167.426527336,5402322.59654519
Hunde,419550.551550728,5400900.97744454
Hünd,411073.047004995,5407525.77925132
Hind,425671.177517214,5402789.80388343
Hunde,360525.628716431,5436059.39343292
Hůnd,359870.578045415,5430847.08350483
Hond,370680.310051967,5333158.66858765
Hend,373577.647700273,5336112.93643195
Hend,375261.009225792,5335224.18735161
"Hund, Hēund",371825.280553393,5327313.89629302
Heind,372335.662434711,5329722.16597938
Hend,371644.474345626,5328821.33971211
Hend,372553.656105096,5332889.78904875
hend,375343.151343667,5333770.17058172
Hend,373775.528048467,5332437.93116611
Hund ,373958.994258015,5328089.43347195
"Tchee, Tchee",365466.016736553,5330198.55872026
Hund,372367.339530999,5331577.35426328
Hend,375114.688921384,5334315.56880283
Hend,378784.190792889,5334823.72505271
Hind,386332.198714481,5328763.52095462
Hund,383659.0629814,5328533.64679909
Hend,382794.793427085,5329756.55952371
Hund,384310.260288764,5331236.80820036
Hund,383775.308121379,5329380.77301002
"Hund, Hünd",386715.17372503,5331068.6316695
Hound,379199.946969311,5331468.00944461
Hund,388554.850019308,5335317.65917761
Hend,384753.123473832,5327457.47146681
Hent,387523.440050803,5333444.33187449
Hund,391878.325066051,5335939.85465293
Hind,399767.681993787,5331036.48314386
Hund,398478.172648882,5331189.28515388
k.A.,395730.874433542,5328579.20692344
Hind,399933.648977404,5328051.76837148
Hund,397670.562590379,5329023.4212618
Hund,399571.339675202,5335666.10640935
He͘nd,388609.32443419,5327599.15620209
Hund,392497.309687144,5327666.11393627
Hund,391529.896735125,5330230.45263733
Hund,399975.039575494,5331997.89021972
Hund,396860.186809837,5332565.72045188
Hund,398392.260780396,5327141.65085892
Hund,396524.265502535,5330367.06329454
Hind,403525.066965962,5332885.28874043
Hind,407080.117199966,5333789.22754722
k.A.,409030.315272013,5328984.08115509
Hind,409419.79814886,5327151.33918334
"Hund, Hind",410316.383341924,5335122.79364466
Hund,401962.881705205,5328737.12117915
Hund,406600.847859584,5327527.8787972
Hūnde,411166.69567165,5332452.48528254
Hünd,403563.897661172,5335276.05828441
d'hind,406185.57605501,5330638.66383061
Hünd,410965.397302662,5331327.21051192
"Hund, Hint",401504.031222032,5331455.50629675
Hind,414379.947896773,5330377.97340688
Hind,422598.064443591,5327227.26306441
Hind,414855.634473635,5327876.22201113
Hünd,417146.891269308,5330030.44226267
Hind,424669.785440184,5328749.30317373
Hund,423944.402139094,5333046.56067042
Hund,418697.535956769,5328462.97934182
Hint,413298.050921917,5332223.02191424
Hund,416972.026682895,5331266.95469506
Hund,413777.491908577,5333570.95785684
Hind,423480.718000572,5328577.19136567
Hünd,416491.979193401,5328304.60162425
Hünd,420037.57840118,5334361.59189978
Hind,417164.272973757,5336214.56174875
Hunde,419689.924967393,5332910.15546036
Hund,424624.236071873,5329927.14414908
Hìnd,360759.605747063,5322634.46301878
"Hund, Hend",360759.605747063,5322634.46301878
hénd,358635.15766852,5325125.17437866
Huin,356179.248544774,5319572.3574905
Hēnd,361775.400631526,5321182.04458426
Hend,360362.9990299,5324049.74434106
Hund,359657.158845293,5321465.83716159
Hůnd,358401.369164466,5320692.63296684
Hond,361065.222198466,5324692.14989373
"hōnd, hend",358541.57900503,5324081.01289179
Hend,357395.896774874,5320939.92328753
Hend,363634.005460046,5321643.58879172
